Date,Open,High,Low,Close,Adj Close,Volume
2014-09-01,282.239990,286.079987,271.279999,275.279999,275.279999,12142693
2014-10-01,276.799988,279.839996,241.279999,245.039993,245.039993,22051206
2014-11-01,244.080002,245.759995,203.679993,204.639999,204.639999,26087667
2014-12-01,202.479996,211.119995,158.720001,162.880005,162.880005,60335993
2015-01-01,159.759995,162.800003,130.399994,142.559998,142.559998,83013319
2015-02-01,147.199997,162.320007,140.639999,144.800003,144.800003,93894742
2015-03-01,145.039993,152.800003,124.879997,134.720001,134.720001,82544019
2015-04-01,136.000000,164.399994,135.440002,164.080002,164.080002,72098881
2015-05-01,162.399994,172.000000,152.720001,162.479996,162.479996,53634529
2015-06-01,162.880005,166.399994,153.839996,159.039993,159.039993,41671618
2015-07-01,156.320007,156.639999,124.320000,124.720001,124.720001,66350082
2015-08-01,122.320000,129.199997,98.959999,127.120003,127.120003,85623467
2015-09-01,123.839996,126.800003,113.279999,117.440002,117.440002,76734669
2015-10-01,121.199997,129.600006,108.879997,118.480003,118.480003,76797981
2015-11-01,117.519997,123.599998,102.480003,103.440002,103.440002,64680565
2015-12-01,103.360001,104.879997,84.160004,88.000000,88.000000,93096606
2016-01-01,90.080002,91.360001,63.360001,77.199997,77.199997,156072405
2016-02-01,74.800003,77.199997,61.360001,72.000000,72.000000,136909204
2016-03-01,71.839996,86.400002,71.120003,77.599998,77.599998,109436293
2016-04-01,75.279999,92.000000,71.919998,90.400002,90.400002,94129031
2016-05-01,89.919998,97.040001,85.040001,94.959999,94.959999,59709906
2016-06-01,92.959999,99.599998,87.680000,92.559998,92.559998,64787620
2016-07-01,92.160004,94.239998,76.400002,78.080002,78.080002,61365669
2016-08-01,76.959999,91.040001,73.839996,82.879997,82.879997,92715430
2016-09-01,81.519997,88.239998,78.559998,87.440002,87.440002,122915893
2016-10-01,88.320000,94.320000,84.239998,84.239998,84.239998,121958094
2016-11-01,85.199997,88.800003,76.480003,87.440002,87.440002,119909356
2016-12-01,90.559998,95.519997,88.559998,93.760002,93.760002,83020993
