Date,Open,High,Low,Close,Adj Close,Volume
2014-09-01,99.430000,99.589996,93.620003,94.050003,69.082825,231833300
2014-10-01,94.110001,96.889999,86.910004,96.709999,71.036690,342094700
2014-11-01,96.559998,97.199997,90.110001,90.540001,66.504608,218128400
2014-12-01,90.360001,95.330002,86.190002,92.449997,68.397850,400812400
2015-01-01,92.250000,93.050003,86.029999,87.419998,64.676476,326819500
2015-02-01,87.849998,93.449997,87.500000,88.540001,65.505096,276447700
2015-03-01,88.339996,88.519997,82.680000,85.000000,63.359432,330260500
2015-04-01,85.699997,88.669998,83.809998,87.370003,65.126030,251671200
2015-05-01,87.849998,90.089996,84.769997,85.199997,63.508484,198924100
2015-06-01,85.250000,85.970001,82.800003,83.199997,62.530632,238808600
2015-07-01,83.279999,83.529999,78.930000,79.209999,59.531895,274029000
2015-08-01,78.699997,79.290001,66.550003,75.239998,56.548138,387523600
2015-09-01,73.300003,75.470001,71.510002,74.349998,56.402084,316644500
2015-10-01,75.199997,83.879997,73.029999,82.739998,62.766758,318077700
2015-11-01,82.300003,87.440002,77.910004,81.660004,61.947464,264207900
2015-12-01,81.760002,82.129997,73.790001,77.949997,59.648540,367069000
2016-01-01,77.500000,79.919998,71.550003,77.849998,59.572014,418954700
2016-02-01,76.660004,83.440002,73.550003,80.150002,61.332020,359915800
2016-03-01,80.559998,85.099998,80.309998,83.589996,64.544914,292841700
2016-04-01,82.400002,89.779999,81.989998,88.400002,68.259003,221801200
2016-05-01,88.239998,90.459999,87.230003,89.019997,68.737732,219170200
2016-06-01,88.430000,93.830002,87.610001,93.739998,72.990662,252091800
2016-07-01,93.360001,95.550003,86.120003,88.949997,69.260933,209716200
2016-08-01,88.080002,88.940002,85.580002,87.139999,67.851578,235412300
2016-09-01,86.720001,89.370003,82.290001,87.279999,68.540138,271447100
2016-10-01,86.940002,88.669998,82.989998,83.320000,65.430359,192041100
2016-11-01,83.500000,88.190002,82.760002,87.300003,68.555847,233089000
2016-12-01,87.980003,93.220001,86.599998,90.260002,71.507912,220435500
